timestamp,item_name
00:28,"Doran's Ring, Health Potion, Health Potion"
03:14,"Sapphire Crystal, Amplifying Tome, Health Potion"
05:23,"Lost Chapter, Refillable Potion, Control Ward"
08:41,Fated Ashes
09:25,"Blackfire Torch, Refillable Potion"
11:52,Sorcerer's Shoes
14:28,"Fiendish Codex, Amplifying Tome, Farsight Alteration"
16:52,"Horizon Focus, Control Ward"
19:38,Needlessly Large Rod
22:49,Needlessly Large Rod
25:29,Rabadon's Deathcap
26:55,"Needlessly Large Rod, Control Ward, Control Ward"
28:38,Spellslinger's Shoes
